French,English,Memorized
partie,part,True
histoire,history,True
chercher,search,False
seulement,only,True
police,police,True
pensais,thought,True
aide,help,True
demande,request,True
genre,kind,True
mois,month,True
frère,brother,True
laisser,let,True
car,because,True
mettre,to put,True
aucun,no,True
laisse,leash,False
eux,them,True
ville,city,True
chaque,each,True
parlé,speak,True
arrivé,come,True
devrait,should,True
bébé,baby,True
longtemps,long time,True
heures,hours,True
vont,will,True
pendant,while,True
revoir,meet again,True
aucune,any,True
place,square,True
parle,speak,True
compris,understood,False
savais,knew,False
étaient,were,True
attention,Warning,True
voici,here is,True
pourrais,could,True
affaire,case,True
donner,give,True
type,type,True
leurs,their,False
donné,given,False
train,train,True
corps,body,True
endroit,place,False
yeux,eyes,True
façon,way,True
écoute,listen,True
dont,whose,True
trouve,find,True
premier,first,False
perdu,lost,True
main,hand,True
première,first,False
côté,side,False
pouvoir,power,False
vieux,old,True
sois,be,False
tiens,here,False
matin,morning,False
tellement,so much,True
enfant,child,True
point,point,True
venu,came,False
suite,after,True
pardon,sorry,True
venez,come,True
devant,in front of,True
vers,towards,False
minutes,minutes,False
demandé,request,False
chambre,bedroom,True
mis,placed,True
belle,beautiful,True
droit,law,True
aimerais,would like to,True
aujourd'hui,today,True
mari,husband,False
cause,cause,True
enfin,finally,True
espère,hope,True
eau,water,True
attendez,Wait,True
parti,left,False
nouvelle,new,True
boulot,job,True
arrêter,Stop,False
dirait,would say,True
terre,Earth,True
compte,account,True
donne,given,False
loin,far,True
fin,end,True
croire,believe,True
chérie,sweetheart,True
gros,large,True
plutôt,rather,True
aura,will have,False
filles,girls,True
jouer,to play,True
bureau,office,False
